Title_ZH,Country,Finished,Genres_EN,Score /5,Status,TMDB_ID,Title_EN,
Red Eye S1,England,4/4/2026,"Action, Thriller",4,Finished,247704,Red Eye Season 1,
寧安如夢,China,2/19/2026,Drama,3,Finished,207197,Story of Kunning Palace,
復仇男友,Japan,2/10/2026,Drama,3,Finished,283924,Lover's Revenge,
再會了，美好時光,Japan,2/10/2026,Drama,4,Finished,226824,"Farewell, Happy Days",
凱倫·皮里 S1,Scottland,2/6/2026,"Crime, Drama, Mystery",3,Finished,194636,Karen Pirie Season 1,
卓越航空,Japan,2/1/2026,Drama,3,Finished,204262,NICE FLIGHT!,
如舞薄冰,USA,1/28/2026,Drama,3,Finished,281401,Finding Her Edge,
偶像瘋子,Korea,1/28/2026,Mystery,3,Finished,285278,Idol I,
奇怪的搭檔,Japan,1/28/2026,Suspicious Partner ,3,Finished,287908,Comedy and Mystery,
極道鮮師 S2,Japan,1/24/2026,"Comedy, Drama",4,Finished,63409,Gokusen Season 2,
軋戲,China,1/20/2026,Drama,4,Finished,279136,Love Between Lines,
極道鮮師 S1,Japan,1/13/2026,"Comedy, Drama",4,Finished,63409,Gokusen Season 1,
巔峰對決 S1,Canada,1/9/2026,Other,3,Finished,301507,Heated Rivalry Season 1,
成為你的花,Japan,1/7/2026,Drama,3,Finished,209459,I Will Be Your Bloom,
靈媒偵探城冢翡翠,Japan,1/7/2026,Drama,3,Finished,209846,Medium Detective Hisui Jozuka,
怪奇物語S4,USA,12/30/2025,"Sci-Fi & Fantasy, Mystery",4,Finished,66732,Stranger Things Season 4,
廚房的愛麗絲,Japan,12/16/2025,Mystery,3,Finished,241790,Alice in Wonderful Kitchen,
怪奇物語S3,USA,12/2/2025,"Sci-Fi & Fantasy, Mystery",4,Finished,66732,Stranger Things Season 3,
怪奇物語S1,USA,11/30/2025,"Sci-Fi & Fantasy, Mystery",5,Finished,66732,Stranger Things Season 2,
怪奇物語S2,USA,11/30/2025,"Sci-Fi & Fantasy, Mystery",5,Finished,66732,Stranger Things Season 1,
拿著手術刀的獵人,Korea,11/17/2025,Crime,4,Finished,281967,Hunter with a Scalpel,
宇宙嫁給我,Korea,11/17/2025,Other,3,Finished,281011,Would You Marry Me?,
暴風圈,Korea,10/3/2025,Drama and Mystery,3,Finished,223326,Tempest,
江南時節,Short Drama,9/21/2025,Other,4,Finished,,江南時節,
盛夏芬德拉,Short Drama,9/21/2025,Drama,4,Finished,301366,Summer Rose,
我變美的那個夏天 S1,USA,9/21/2025,Other,3,Finished,194766,The Summer I Turned Pretty Season 1,
破局之團圓之旅,Short Drama,9/15/2025,Other,3,Finished,,破局之團圓之旅,
裴總每天都想父憑子貴,Short Drama,9/15/2025,Other,4,Finished,,裴總每天都想父憑子貴,
The Pitt S1,USA,9/2/2025,Drama,5,Finished,250307,The Pitt,
錦繡宅心,Short Drama,9/1/2025,Drama,3,Finished,297236,Threads of Destiny,
媽媽是殺手,England,8/31/2025,Drama,3,Finished,262352,The Assassin,
請和我的老公結婚,Japan,7/30/2025,Drama,4,Finished,290160,Marry My Husband: Japan,
血謎拼圖,Korea,6/30/2025,Crime,3,Finished,227191,Nine Puzzles,
活下來的我們,USA,6/15/2025,Drama,2,Finished,284605,The Survivors,
愛情自有天意,Short Drama,5/4/2025,Comedy and Drama,3,Finished,305374,Love Has It Planned,
好一個乖乖女,Short Drama,5/4/2025,Drama,3,Finished,284360,What A Good Girl,
嬌鶯,Short Drama,5/4/2025,Other,3,Finished,,嬌鶯,
絕對臣服,Short Drama,5/4/2025,Other,3,Finished,286580,绝对臣服,
魔法科高校的劣等生 S3,Animate,4/28/2025,"Animation, Action & Adventure, Sci-Fi & Fantasy",3,Finished,60833,The Irregular at Magic High School Season 3,
魔法科高校的劣等生 S2,Animate,4/27/2025,"Animation, Action & Adventure, Sci-Fi & Fantasy",3,Finished,60833,The Irregular at Magic High School Season 2,
獵補行動 S1,USA,4/19/2025,Other,4,Finished,247723,The Hunting Party Season 1,
黑鏡 S7,USA,4/19/2025,"Sci-Fi, Anthology, Drama",4,Finished,42009,Black Mirror Season 7,
119緊急呼救,Japan,4/2/2025,"Drama, Action & Adventure",3,Finished,278339,119 Emergency Call,
白宮殺人案件,USA,4/1/2025,Other,4,Finished,242054,The Residence,
似錦,China,3/23/2025,Drama,2,Finished,263043,Si Jin,
難哄,China,3/23/2025,Drama,3,Finished,250060,The First Frost,
我的完美祕書,Korea,2/19/2025,Other,4,Finished,233100,Love Scout,
少年間諜亞瑟 S3,England,2/12/2025,"Action & Adventure, Mystery",3,Finished,99799,Alex Rider Season 3,
少年間諜亞瑟 S2,England,2/10/2025,"Action & Adventure, Mystery",2,Finished,99799,Alex Rider Season 2,
少年間諜亞瑟 S1,England,2/8/2025,"Action & Adventure, Mystery",3,Finished,99799,Alex Rider Season 1,
月光花謀殺案,England,2/4/2025,Mystery,4,Finished,241548,Moonflower Murders,
喜鵲謀殺案,England,2/2/2025,Drama,4,Finished,130766,Magpie Murders,
我們假結婚吧,Japan,1/30/2025,Comedy,3,Finished,228919,Usokon,
我們陷入戀愛的理由,Japan,1/30/2025,Other,3,Finished,270655,The Reason We Fall In Love,
我們的餐桌,Japan,1/29/2025,Drama,4,Finished,222366,Our Dining Table,
暗夜情報員 S2,USA,1/28/2025,"Action, Drama, Thriller",3,Finished,129552,The Night Agent Season 2,
重症外傷中心,Korea,1/27/2025,Drama,4,Finished,217553,The Trauma Code: Heroes on Call,
我的ID是江南美人 泰國版,Thailand,1/26/2025,Other,3,Finished,232671,Beauty Newbie,
美妝搭檔情人,Japan,1/18/2025,Drama,3,Finished,259131,Cosmetic Playlover,
毒戀,Japan,1/18/2025,Drama and Mystery,3,Finished,259881,Love Is a Poison,
戀戀洗衣店 S2,Japan,1/17/2025,"Romance, Comedy",3,Finished,202985,Minato's Laundromat Season 2,
戀戀洗衣店 S1,Japan,1/14/2025,"Romance, Comedy",3,Finished,202985,Minato's Laundromat,
未成年,Japan,1/14/2025,Drama,4,Finished,272512,Our Youth,
謎探路德維希 S1,England,1/14/2025,Other,5,Finished,243360,Ludwig Season 1,
現在撥打的電話,Korea,1/4/2025,Drama,2,Finished,253905,When the Phone Rings,
暗夜情報員 S1,USA,1/3/2025,"Action, Drama, Thriller",4,Finished,129552,The Night Agent Season 1,
九重紫,China,12/28/2024,Drama,4,Finished,249972,Blossom,
全領域異常解決室,Japan,12/22/2024,Drama,4,Finished,261792,AARO -All-domain Anomaly Resolution Office-,
雙面騙子 虛偽警察 S1,Japan,12/9/2024,Other,3,Finished,247442,Double Cheat: Itsuwari no Keikan Season 1,
如寶物般的玻璃珠 ,Japan,12/8/2024,Drama,3,Finished,254724,Takara's Treasure,
媽媽朋友的兒子,Korea,12/2/2024,Drama,3,Finished,241454,Love Next Door,
體感預報,Japan,12/1/2024,Drama,2,Finished,230735,My Personal Weatherman,
重組家庭,Korea,11/28/2024,Drama,3,Finished,237565,Family by Choice,
預感訊號,Thailand,11/21/2024,Mystery,3,Finished,237411,The Sign,
超能異族,Korea,11/10/2024,"Mystery, Drama, Action & Adventure",4,Finished,126485,Moving,
從地獄來的法官,Korea,11/2/2024,Drama,3,Finished,235577,The Judge from Hell,
